league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
LALIGA,0.1,0.05,30%,198,-0.03058725129630514,962.1668750472764,0.07233876921445077,0.4393939393939394
LALIGA,0.1,0.05,35%,200,-0.02374648114438587,969.8752190144858,0.06936162112006537,0.44
LALIGA,0.1,0.05,40%,201,-0.031089152158802646,960.2881652528109,0.07688249561258394,0.43781094527363185
LALIGA,0.1,0.1,sin techo,201,-0.03494733856212967,912.1736975455321,0.15166488538898376,0.43781094527363185
LALIGA,0.1,0.1,20%,152,0.07511081411152148,1137.3429030389334,0.09900143426808793,0.48026315789473684
LALIGA,0.1,0.1,25%,181,-0.02174693127812863,953.8997947464518,0.1345109518396441,0.44751381215469616
LALIGA,0.1,0.1,30%,198,-0.03471002471466281,916.1278856254112,0.14283874623586362,0.4393939393939394
LALIGA,0.1,0.1,35%,200,-0.027795082033220633,930.5707692911159,0.13455533486171914,0.44
LALIGA,0.1,0.1,40%,201,-0.03494733856212967,912.1736975455321,0.15166488538898376,0.43781094527363185
LALIGA,0.1,0.15,sin techo,201,-0.03873188807495865,857.1055778966219,0.2238796074293385,0.43781094527363185
LALIGA,0.1,0.15,20%,152,0.07182886804300778,1202.249936975112,0.1452870429763906,0.48026315789473684
LALIGA,0.1,0.15,25%,181,-0.025896452730047707,919.8452069853649,0.1967205079618972,0.44751381215469616
LALIGA,0.1,0.15,30%,198,-0.0388241926018612,863.2199376503501,0.21743154025178973,0.4393939393939394
LALIGA,0.1,0.15,35%,200,-0.03179921970722789,883.2993761527566,0.2001607780228637,0.44
LALIGA,0.1,0.15,40%,201,-0.03873188807495865,857.1055778966219,0.2238796074293385,0.43781094527363185
LALIGA,0.1,0.2,sin techo,201,-0.044796184604456266,788.9262849562856,0.30434962865993986,0.43781094527363185
LALIGA,0.1,0.2,20%,152,0.06622522156377711,1250.9110589423935,0.18953170080235676,0.48026315789473684
LALIGA,0.1,0.2,25%,181,-0.030519289707139886,878.9126296535634,0.25036373251802946,0.44751381215469616
LALIGA,0.1,0.2,30%,198,-0.044036897582084344,802.0052315562443,0.29281702512968444,0.4393939393939394
LALIGA,0.1,0.2,35%,200,-0.038075409958664895,821.4040496401121,0.2757117578050589,0.44
LALIGA,0.1,0.2,40%,201,-0.044796184604456266,788.9262849562856,0.30434962865993986,0.43781094527363185
LALIGA,0.1,0.25,sin techo,201,-0.053962210337536634,707.5976408323575,0.38552465850802975,0.43781094527363185
LALIGA,0.1,0.25,20%,152,0.05870609348029571,1274.897541747604,0.2296420699100028,0.48026315789473684
LALIGA,0.1,0.25,25%,181,-0.03588398846959396,830.9925664973963,0.2974918728621822,0.44751381215469616
LALIGA,0.1,0.25,30%,198,-0.05129861691170659,732.857004995632,0.3635895141202668,0.4393939393939394
LALIGA,0.1,0.25,35%,200,-0.04735581941512126,744.3884135002364,0.35357567889829655,0.44
LALIGA,0.1,0.25,40%,201,-0.053962210337536634,707.5976408323575,0.38552465850802975,0.43781094527363185
LALIGA,0.12,0.05,sin techo,139,-0.07602644035166824,925.6943866770839,0.1059536132538472,0.41007194244604317
LALIGA,0.12,0.05,20%,90,0.05374176561581412,1031.0849749349684,0.06188419588413598,0.4666666666666667
LALIGA,0.12,0.05,25%,119,-0.06912426039772364,945.5055721569549,0.07748904098821453,0.42016806722689076
LALIGA,0.12,0.05,30%,136,-0.07718083233631079,927.5054171300881,0.10232510777396787,0.4117647058823529
LALIGA,0.12,0.05,35%,138,-0.06714917058277307,934.9360728428368,0.09702788545118345,0.41304347826086957
LALIGA,0.12,0.05,40%,139,-0.07602644035166824,925.6943866770839,0.1059536132538472,0.41007194244604317
LALIGA,0.12,0.1,sin techo,139,-0.07932592357778565,848.9317494645132,0.2042395792373815,0.41007194244604317
